	北海道	青森	岩手	宮城	秋田	山形	福島	茨城	栃木	群馬	埼玉	千葉	東京	神奈川	新潟	富山	石川	福井	山梨	長野	岐阜	静岡	愛知	三重	滋賀	京都	大阪	兵庫	奈良	和歌山	鳥取	島根	岡山	広島	山口	徳島	香川	愛媛	高知	福岡	佐賀	長崎	熊本	大分	宮崎	鹿児島	沖縄
北海道	0 	254 	374 	534 	386 	542 	595 	750 	732 	766 	813 	835 	831 	858 	606 	790 	824 	893 	856 	762 	940 	934 	955 	1016 	1012 	1015 	1058 	1072 	1045 	1118 	1039 	1105 	1132 	1233 	1306 	1160 	1157 	1267 	1256 	1417 	1455 	1523 	1471 	1383 	1515 	1592 	2244 
青森	254 	0 	129 	284 	134 	289 	342 	498 	479 	513 	560 	582 	577 	605 	357 	551 	590 	659 	604 	514 	698 	681 	711 	772 	775 	779 	822 	838 	807 	882 	820 	898 	909 	1021 	1101 	928 	931 	1048 	1029 	1215 	1251 	1319 	1260 	1168 	1294 	1375 	2019 
岩手	374 	129 	0 	161 	90 	176 	225 	378 	366 	411 	447 	464 	464 	491 	272 	480 	526 	592 	503 	427 	618 	579 	627 	689 	701 	706 	748 	768 	730 	808 	768 	855 	850 	971 	1057 	858 	868 	991 	963 	1173 	1206 	1273 	1209 	1115 	1232 	1316 	1951 
宮城	534 	284 	161 	0 	174 	45 	68 	217 	208 	263 	289 	303 	305 	332 	167 	368 	419 	480 	355 	298 	489 	428 	493 	554 	576 	582 	623 	646 	602 	681 	666 	763 	739 	869 	958 	735 	752 	880 	843 	1075 	1106 	1170 	1101 	1006 	1112 	1200 	1822 
秋田	386 	134 	90 	174 	0 	166 	221 	376 	351 	381 	431 	457 	449 	476 	222 	420 	462 	530 	470 	380 	566 	548 	578 	639 	644 	648 	691 	708 	675 	751 	698 	781 	784 	900 	983 	798 	804 	924 	901 	1099 	1133 	1200 	1139 	1046 	1167 	1250 	1891 
山形	542 	289 	176 	45 	166 	0 	55 	211 	191 	236 	272 	293 	289 	317 	123 	327 	378 	440 	328 	262 	453 	403 	459 	521 	539 	545 	586 	609 	566 	645 	625 	721 	700 	828 	917 	698 	714 	840 	806 	1034 	1065 	1129 	1061 	966 	1075 	1162 	1787 
福島	595 	342 	225 	68 	221 	55 	0 	156 	141 	196 	222 	240 	239 	266 	128 	312 	365 	422 	287 	237 	425 	360 	428 	489 	513 	520 	560 	584 	538 	617 	610 	710 	680 	811 	902 	672 	691 	820 	781 	1019 	1048 	1112 	1041 	946 	1050 	1138 	1756 
茨城	750 	498 	378 	217 	376 	211 	156 	0 	56 	125 	90 	87 	99 	123 	215 	292 	344 	381 	185 	206 	353 	241 	345 	399 	440 	449 	483 	511 	457 	534 	568 	674 	619 	757 	851 	592 	623 	753 	703 	964 	989 	1049 	973 	878 	966 	1056 	1652 
栃木	732 	479 	366 	208 	351 	191 	141 	56 	0 	76 	81 	109 	99 	126 	167 	239 	292 	334 	155 	153 	314 	223 	310 	367 	402 	411 	447 	474 	422 	501 	522 	628 	579 	715 	808 	558 	585 	715 	668 	923 	950 	1010 	936 	841 	934 	1024 	1630 
群馬	766 	513 	411 	263 	381 	236 	196 	125 	76 	0 	80 	130 	96 	117 	168 	169 	219 	258 	92 	84 	239 	169 	237 	296 	327 	336 	373 	399 	349 	428 	446 	552 	503 	639 	732 	484 	510 	640 	595 	847 	874 	935 	861 	766 	862 	950 	1562 
埼玉	813 	560 	447 	289 	431 	272 	222 	90 	81 	80 	0 	51 	19 	45 	234 	238 	284 	310 	100 	159 	270 	151 	260 	312 	356 	365 	397 	426 	371 	447 	491 	599 	537 	675 	769 	505 	538 	668 	616 	881 	905 	964 	887 	793 	877 	968 	1562 
千葉	835 	582 	464 	303 	457 	293 	240 	87 	109 	130 	51 	0 	40 	47 	273 	289 	334 	356 	141 	210 	310 	173 	296 	343 	393 	402 	432 	461 	404 	478 	534 	641 	574 	712 	806 	537 	573 	702 	646 	917 	940 	997 	919 	825 	904 	994 	1578 
東京	831 	577 	464 	305 	449 	289 	239 	99 	99 	96 	19 	40 	0 	27 	253 	249 	294 	316 	102 	173 	271 	143 	259 	309 	356 	365 	396 	425 	369 	444 	495 	602 	537 	675 	769 	503 	537 	666 	612 	881 	904 	962 	885 	790 	872 	963 	1554 
神奈川	858 	605 	491 	332 	476 	317 	266 	123 	126 	117 	45 	47 	27 	0 	278 	259 	300 	317 	100 	188 	265 	126 	251 	297 	347 	357 	385 	415 	358 	431 	490 	598 	528 	667 	760 	490 	526 	655 	599 	871 	893 	950 	872 	778 	857 	947 	1533 
新潟	606 	357 	272 	167 	222 	123 	128 	215 	167 	168 	234 	273 	253 	278 	0 	209 	258 	322 	252 	158 	346 	330 	357 	418 	428 	434 	476 	496 	458 	536 	504 	598 	582 	707 	795 	586 	598 	722 	692 	912 	944 	1009 	942 	848 	961 	1046 	1679 
富山	790 	551 	480 	368 	420 	327 	312 	292 	239 	169 	238 	289 	249 	259 	209 	0 	54 	113 	167 	87 	151 	218 	170 	227 	223 	228 	270 	288 	256 	331 	299 	399 	373 	501 	591 	378 	388 	514 	483 	707 	738 	802 	734 	639 	752 	837 	1472 
石川	824 	590 	526 	419 	462 	378 	365 	344 	292 	219 	284 	334 	294 	300 	258 	54 	0 	69 	203 	139 	134 	240 	159 	207 	189 	191 	234 	248 	224 	294 	247 	345 	325 	450 	539 	338 	343 	466 	439 	656 	687 	752 	684 	590 	707 	791 	1430 
福井	893 	659 	592 	480 	530 	440 	422 	381 	334 	258 	310 	356 	316 	317 	322 	113 	69 	0 	217 	188 	87 	230 	116 	150 	122 	123 	166 	179 	157 	226 	190 	294 	260 	389 	481 	269 	276 	401 	371 	597 	626 	690 	621 	526 	639 	724 	1361 
山梨	856 	604 	503 	355 	470 	328 	287 	185 	155 	92 	100 	141 	102 	100 	252 	167 	203 	217 	0 	115 	170 	78 	160 	214 	256 	265 	298 	327 	272 	349 	393 	501 	437 	575 	669 	407 	438 	568 	518 	781 	805 	864 	788 	693 	781 	871 	1475 
長野	762 	514 	427 	298 	380 	262 	237 	206 	153 	84 	159 	210 	173 	188 	158 	87 	139 	188 	115 	0 	192 	187 	200 	261 	278 	284 	325 	348 	305 	384 	377 	480 	443 	576 	668 	437 	455 	583 	545 	784 	813 	876 	805 	709 	814 	902 	1526 
岐阜	940 	698 	618 	489 	566 	453 	425 	353 	314 	239 	270 	310 	271 	265 	346 	151 	134 	87 	170 	192 	0 	158 	29 	76 	89 	97 	135 	161 	113 	192 	226 	334 	267 	405 	499 	247 	271 	401 	357 	612 	637 	697 	623 	527 	625 	713 	1334 
静岡	934 	681 	579 	428 	548 	403 	360 	241 	223 	169 	151 	173 	143 	126 	330 	218 	240 	230 	78 	187 	158 	0 	137 	174 	230 	240 	264 	294 	236 	307 	382 	489 	408 	547 	640 	365 	404 	532 	474 	749 	770 	826 	747 	654 	731 	821 	1412 
愛知	955 	711 	627 	493 	578 	459 	428 	345 	310 	237 	260 	296 	259 	251 	357 	170 	159 	116 	160 	200 	29 	137 	0 	62 	97 	106 	138 	167 	112 	191 	245 	352 	278 	416 	510 	248 	278 	408 	359 	622 	645 	704 	628 	533 	625 	714 	1329 
三重	1016 	772 	689 	554 	639 	521 	489 	399 	367 	296 	312 	343 	309 	297 	418 	227 	207 	150 	214 	261 	76 	174 	62 	0 	66 	76 	91 	122 	62 	135 	224 	326 	236 	373 	467 	194 	230 	358 	304 	575 	597 	653 	576 	482 	567 	657 	1268 
滋賀	1012 	775 	701 	576 	644 	539 	513 	440 	402 	327 	356 	393 	356 	347 	428 	223 	189 	122 	256 	278 	89 	230 	97 	66 	0 	11 	48 	72 	36 	108 	158 	262 	181 	320 	413 	159 	183 	313 	268 	525 	549 	609 	534 	439 	537 	625 	1251 
京都	1015 	779 	706 	582 	648 	545 	520 	449 	411 	336 	365 	402 	365 	357 	434 	228 	191 	123 	265 	284 	97 	240 	106 	76 	11 	0 	43 	64 	38 	103 	148 	251 	171 	310 	404 	153 	174 	304 	261 	516 	540 	600 	526 	430 	530 	618 	1245 
大阪	1058 	822 	748 	623 	691 	586 	560 	483 	447 	373 	397 	432 	396 	385 	476 	270 	234 	166 	298 	325 	135 	264 	138 	91 	48 	43 	0 	31 	29 	61 	148 	242 	145 	283 	376 	112 	141 	270 	222 	486 	508 	566 	490 	395 	490 	578 	1203 
兵庫	1072 	838 	768 	646 	708 	609 	584 	511 	474 	399 	426 	461 	425 	415 	496 	288 	248 	179 	327 	348 	161 	294 	167 	122 	72 	64 	31 	0 	60 	52 	125 	213 	114 	252 	346 	90 	112 	242 	197 	456 	479 	538 	462 	367 	467 	554 	1184 
奈良	1045 	807 	730 	602 	675 	566 	538 	457 	422 	349 	371 	404 	369 	358 	458 	256 	224 	157 	272 	305 	113 	236 	112 	62 	36 	38 	29 	60 	0 	80 	171 	268 	174 	311 	405 	136 	169 	298 	246 	513 	536 	593 	516 	422 	513 	602 	1222 
和歌山	1118 	882 	808 	681 	751 	645 	617 	534 	501 	428 	447 	478 	444 	431 	536 	331 	294 	226 	349 	384 	192 	307 	191 	135 	108 	103 	61 	52 	80 	0 	165 	238 	123 	250 	341 	59 	104 	226 	168 	445 	464 	519 	441 	347 	434 	523 	1143 
鳥取	1039 	820 	768 	666 	698 	625 	610 	568 	522 	446 	491 	534 	495 	490 	504 	299 	247 	190 	393 	377 	226 	382 	245 	224 	158 	148 	148 	125 	171 	165 	0 	108 	97 	204 	292 	162 	130 	229 	225 	409 	440 	506 	441 	349 	476 	555 	1205 
島根	1105 	898 	855 	763 	781 	721 	710 	674 	628 	552 	599 	641 	602 	598 	598 	399 	345 	294 	501 	480 	334 	489 	352 	326 	262 	251 	242 	213 	268 	238 	108 	0 	121 	131 	203 	208 	155 	183 	217 	318 	353 	421 	366 	281 	423 	492 	1147 
岡山	1132 	909 	850 	739 	784 	700 	680 	619 	579 	503 	537 	574 	537 	528 	582 	373 	325 	260 	437 	443 	267 	408 	278 	236 	181 	171 	145 	114 	174 	123 	97 	121 	0 	139 	233 	88 	37 	141 	128 	345 	371 	433 	362 	267 	384 	467 	1112 
広島	1233 	1021 	971 	869 	900 	828 	811 	757 	715 	639 	675 	712 	675 	667 	707 	501 	450 	389 	575 	576 	405 	547 	416 	373 	320 	310 	283 	252 	311 	250 	204 	131 	139 	0 	94 	197 	146 	68 	136 	208 	237 	302 	239 	151 	292 	361 	1017 
山口	1306 	1101 	1057 	958 	983 	917 	902 	851 	808 	732 	769 	806 	769 	760 	795 	591 	539 	481 	669 	668 	499 	640 	510 	467 	413 	404 	376 	346 	405 	341 	292 	203 	233 	94 	0 	285 	238 	126 	203 	117 	150 	218 	169 	106 	252 	304 	956 
